"country","asset_type","sum_emissions"
"AGO","Oil",115570141.53340001
"ALB","Gas",61681.043760600005
"ALB","Oil",3397118.0684000007
"ARE","Gas",66627527.393999994
"ARE","Oil",489035885.04200006
"ARG","Gas",182716425.99719998
"ARG","Oil",18462680.974620003
"AUS","Oil",2860865.789346
"AUS","Gas",347523735.7358001
"AZE","Gas",90182569.48800002
"AZE","Oil",86402351.78199999
"BEL","Oil",609.8850256
"BEL","Gas",5185.009284
"BEN","Oil",93429.83087800001
"BGD","Gas",29619569.74180001
"BGR","Oil",78185.01953800001
"BGR","Gas",101353.409978
"BHR","Gas",55483429.586
"BLZ","Oil",158395.07805599997
"BOL","Gas",58443854.559200004
"BRA","Gas",15524137.073600002
"BRA","Oil",451561746.27799976
"BRB","Oil",108129.26249800001
"CAN","Gas",438601749.64000005
"CAN","Oil",1560573312.3506007
"CHL","Oil",123937.45866
"CHL","Gas",3959625.0482400004
"CHN","Gas",1142778489.8616
"CHN","Oil",494406402.4931999
"CIV","Oil",3238988.0612999997
"CIV","Gas",673296.47276
"CMR","Oil",16680493.445280006
"COD","Oil",2597600.68102
"COG","Oil",39134707.48839999
"COG","Gas",4651641.4108
"COL","Gas",35454234.88899999
"COL","Oil",157800547.88875997
"CUB","Oil",19546817.0202
"DEU","Gas",2556493.16128
"DNK","Gas",2699189.5306
"DNK","Oil",3479077.034
"DZA","Gas",367029047.0638
"DZA","Oil",176356377.0904
"ECU","Gas",1256655.9943
"ECU","Oil",45440036.06064001
"EGY","Gas",75363615.81212
"EGY","Oil",19101740.018399995
"ESP","Gas",167834.378526
"EST","Oil",1710333.6485000001
"FRA","Oil",734041.4083600001
"GAB","Oil",25516824.525300004
"GBR","Gas",27952725.89673999
"GBR","Oil",53274876.144080006
"GEO","Oil",22907.026821600004
"GHA","Oil",18942740.692399997
"GNQ","Gas",37017341.146000005
"GNQ","Oil",9764153.309600001
"GRC","Oil",271944.23923999997
"GTM","Oil",1713989.2023
"GUY","Oil",3817166.6638499997
"HRV","Gas",992201.347314
"IDN","Gas",251832698.25699997
"IDN","Oil",231370239.85780004
"IND","Oil",57003044.52999999
"IND","Gas",25683063.548299994
"IRL","Gas",3110072.2672
"IRN","Oil",492441512.3585996
"IRN","Gas",810611989.4200001
"IRQ","Oil",811801250.8854002
"ISR","Oil",1379.265616
"ISR","Gas",19429637.170999996
"ITA","Oil",6831248.342614002
"JOR","Gas",473745.2757
"JPN","Gas",1581027.3068000001
"KAZ","Gas",58278752.588
"KAZ","Oil",278577683.8786
"KGZ","Oil",131755.21701
"KOR","Gas",548189.59796
"KWT","Oil",180456454.0588
"LBY","Gas",34141804.4788
"LBY","Oil",77717939.19654204
"MAR","Gas",72272.09859800001
"MDG","Oil",462951.2212
"MEX","Oil",214295306.66455203
"MEX","Gas",22684146.863400005
"MMR","Gas",15308829.53732
"MOZ","Gas",9689513.464
"MYS","Gas",163803161.9766
"MYS","Oil",119689751.90466
"NGA","Oil",156760110.09524
"NGA","Gas",124298889.38960002
"NLD","Oil",3994437.5831
"NLD","Gas",37175844.4187
"NOR","Gas",201391018.29003996
"NOR","Oil",48903164.5315
"NZL","Gas",6052103.603800001
"NZL","Oil",816057.6079000002
"OMN","Gas",43599805.24107999
"OMN","Oil",101352573.60820001
"PAK","Gas",30628274.865799993
"PER","Gas",51522965.549399994
"PER","Oil",1496892.53232
"PHL","Gas",8752940.8902
"PNG","Oil",660423.562
"PNG","Gas",54430483.3222
"QAT","Oil",122362720.6812
"QAT","Gas",302696457.85400003
"RUS","Gas",4095357759.312002
"RUS","Oil",808393227.4091336
"SAU","Oil",1033149962.5770001
"SAU","Gas",17641204.6016
"SEN","Gas",18417.202058
"SRB","Oil",2032064.6832800002
"SSD","Oil",22933971.094
"SUR","Oil",2444715.9526
"SVN","Gas",7859.7644356
"TCD","Oil",10806798.006339999
"THA","Gas",153507573.927
"THA","Oil",3803106.0291999998
"TKM","Gas",457049390.3360001
"TKM","Oil",21982642.48
"TLS","Gas",22788714.664
"TTO","Gas",38164826.63344
"TUN","Gas",4687773.231619999
"TUN","Oil",280606.1439788
"TZA","Gas",2451533.9558200007
"UKR","Gas",12480891.540499998
"UKR","Oil",1496096.25536
"USA","Oil",2574182721.1835074
"USA","Gas",2154256531.3851595
"UZB","Gas",92812343.832
"VEN","Gas",11567021.773799999
"VEN","Oil",558772031.88
"VNM","Oil",25462757.872599997
"YEM","Oil",2169879.11178
